iter	Passed	Remaining
0	157	78435
1	166	41488
2	176	29193
3	184	22848
4	190	18867
5	195	16094
6	199	14060
7	203	12509
8	206	11256
9	208	10236
10	210	9370
11	212	8651
12	214	8038
13	216	7514
14	218	7062
15	220	6677
16	222	6324
17	224	6013
18	226	5734
19	228	5480
20	230	5250
21	232	5040
22	233	4851
23	235	4678
24	237	4519
25	239	4373
26	241	4234
27	243	4107
28	245	3987
29	247	3876
30	249	3770
31	251	3673
32	253	3588
33	255	3502
34	257	3421
35	259	3346
36	261	3274
37	263	3204
38	265	3138
39	267	3074
40	269	3016
41	271	2961
42	273	2907
43	275	2854
44	277	2804
45	279	2758
46	281	2710
47	283	2666
48	285	2627
49	287	2585
50	289	2544
51	290	2506
52	292	2469
53	294	2433
54	296	2399
55	298	2365
56	300	2335
57	302	2304
58	304	2276
59	306	2247
60	308	2219
61	310	2193
62	312	2166
63	314	2140
64	316	2114
65	318	2092
66	319	2067
67	321	2044
68	323	2021
69	325	1999
70	327	1977
71	329	1956
72	331	1937
73	333	1919
74	335	1900
75	337	1882
76	339	1864
77	341	1845
78	342	1827
79	344	1809
80	346	1793
81	348	1778
82	351	1764
83	353	1750
84	355	1736
85	357	1722
86	359	1707
87	361	1692
88	363	1678
89	365	1665
90	367	1652
91	369	1638
92	371	1625
93	373	1611
94	375	1599
95	377	1586
96	378	1573
97	381	1562
98	382	1551
99	384	1538
100	386	1527
101	388	1515
102	390	1503
103	392	1493
104	394	1482
105	396	1472
106	398	1463
107	400	1454
108	402	1444
109	404	1435
110	407	1426
111	409	1418
112	411	1408
113	413	1400
114	415	1392
115	418	1383
116	420	1375
117	422	1367
118	424	1358
119	426	1350
120	428	1341
121	430	1334
122	432	1326
123	434	1318
124	437	1311
125	438	1302
126	441	1295
127	442	1287
128	444	1279
129	447	1272
130	449	1265
131	451	1258
132	453	1251
133	455	1244
134	457	1237
135	459	1229
136	461	1223
137	463	1216
138	465	1209
139	467	1202
140	469	1195
141	471	1188
142	473	1181
143	475	1175
144	477	1169
145	479	1163
146	482	1157
147	484	1151
148	485	1144
149	488	1138
150	489	1132
151	491	1125
152	493	1120
153	496	1114
154	498	1109
155	500	1103
156	502	1097
157	504	1091
158	506	1085
159	508	1079
160	510	1074
161	512	1068
162	514	1063
163	516	1057
164	518	1051
165	519	1046
166	521	1040
167	523	1034
168	525	1030
169	528	1025
170	529	1019
171	531	1014
172	533	1008
173	535	1003
174	537	998
175	539	993
176	541	988
177	543	984
178	546	979
179	548	974
180	550	970
181	552	964
182	554	959
183	556	954
184	558	950
185	560	945
186	561	940
187	563	935
188	565	930
189	567	926
190	569	921
191	571	916
192	573	912
193	575	908
194	577	903
195	579	898
196	581	894
197	583	889
198	585	885
199	587	881
200	589	876
201	591	872
202	593	867
203	595	863
204	597	859
205	598	854
206	600	850
207	602	846
208	604	841
209	606	837
210	608	833
211	610	829
212	612	825
213	614	821
214	616	816
215	618	812
216	620	808
217	622	804
218	624	800
219	625	796
220	627	792
221	629	788
222	631	784
223	633	780
224	635	776
225	636	772
226	639	768
227	641	765
228	643	761
229	645	757
230	647	753
231	648	749
232	650	745
233	652	741
234	654	738
235	656	734
236	658	730
237	660	726
238	662	723
239	664	719
240	666	716
241	668	712
242	670	709
243	672	705
244	674	701
245	676	698
246	678	694
247	680	691
248	682	687
249	684	684
250	686	680
251	688	677
252	690	673
253	692	670
254	694	667
255	696	663
256	698	660
257	700	656
258	702	653
259	704	650
260	706	646
261	708	643
262	710	640
263	712	636
264	714	633
265	716	630
266	718	626
267	720	623
268	722	620
269	724	617
270	726	614
271	728	610
272	731	607
273	733	604
274	734	601
275	737	598
276	739	594
277	740	591
278	742	588
279	744	585
280	746	581
281	748	578
282	750	575
283	752	572
284	754	569
285	756	566
286	758	563
287	760	559
288	762	556
289	764	553
290	766	550
291	768	547
292	770	543
293	771	540
294	774	537
295	775	534
296	778	531
297	779	528
298	781	525
299	784	522
300	786	519
301	788	516
302	790	513
303	792	510
304	794	507
305	796	504
306	798	501
307	800	499
308	802	496
309	804	493
310	806	490
311	808	487
312	810	484
313	812	481
314	814	478
315	816	475
316	818	472
317	820	469
318	822	466
